[197, 954, 1146, 814, 847, 1000, 1249, 1441, 5015, 922],
[195, 953, 1145, 811, 843, 996, 1243, 1434, 5000, 910],
[194, 951, 1144, 809, 843, 996, 1243, 1433, 4996, 908],
[195, 952, 1145, 812, 845, 998, 1246, 1437, 5004, 914],
[196, 954, 1147, 813, 847, 999, 1248, 1439, 5012, 920],
[196, 954, 1147, 814, 846, 999, 1248, 1439, 5011, 920],
[196, 954, 1147, 814, 847, 1000, 1248, 1440, 5012, 920],
[196, 954, 1147, 814, 847, 1000, 1248, 1440, 5010, 920],
[197, 954, 1147, 813, 846, 1000, 1248, 1439, 5011, 920],
[196, 954, 1147, 814, 847, 1000, 1247, 1440, 5013, 920],
[196, 953, 1147, 813, 847, 1000, 1248, 1440, 5014, 922],
[197, 955, 1148, 814, 846, 1000, 1248, 1440, 5013, 922],
[196, 955, 1147, 814, 846, 1000, 1249, 1441, 5014, 920],
[196, 955, 1147, 814, 847, 1000, 1248, 1440, 5011, 920],
[196, 954, 1146, 813, 846, 998, 1246, 1438, 5007, 916],
[196, 954, 1146, 813, 845, 999, 1248, 1439, 5009, 918],
[196, 954, 1146, 813, 847, 999, 1248, 1440, 5014, 918],
[197, 954, 1147, 814, 847, 1000, 1249, 1440, 5016, 922],
[196, 954, 1147, 813, 846, 1000, 1248, 1440, 5014, 922],
[197, 955, 1147, 814, 846, 999, 1248, 1440, 5012, 922],
[196, 954, 1147, 813, 847, 999, 1248, 1440, 5012, 920],
[196, 954, 1147, 813, 846, 999, 1248, 1439, 5011, 920],
[196, 954, 1146, 813, 847, 999, 1248, 1439, 5010, 920],
[196, 954, 1146, 814, 846, 999, 1246, 1438, 5011, 920],
[196, 954, 1147, 814, 846, 999, 1248, 1439, 5013, 920],
[196, 955, 1147, 814, 846, 1000, 1248, 1440, 5012, 920],
[196, 954, 1148, 813, 847, 1000, 1248, 1440, 5013, 920],
[196, 954, 1147, 814, 847, 999, 1248, 1439, 5013, 922],
[196, 955, 1148, 814, 847, 999, 1248, 1440, 5014, 920],
[197, 955, 1148, 814, 847, 1001, 1249, 1441, 5016, 922],
[196, 955, 1147, 814, 847, 1001, 1248, 1441, 5017, 922],
[196, 955, 1147, 814, 847, 1000, 1248, 1441, 5015, 922],
[196, 954, 1147, 813, 845, 998, 1247, 1438, 5008, 916],
[186, 940, 1130, 795, 830, 977, 1222, 1403, 4894, 830],
[216, 1161, 1474, 948, 999, 1156, 1482, 1703, 6873, 968],
[167, 824, 976, 711, 743, 872, 1080, 1229, 4072, 720],
[190, 1005, 1221, 831, 844, 984, 1239, 1418, 5123, 804],
[179, 899, 1070, 762, 793, 926, 1155, 1324, 4548, 788],
[193, 921, 1096, 790, 818, 957, 1193, 1376, 4727, 904],
[192, 915, 1089, 786, 815, 953, 1186, 1368, 4688, 888],
[190, 914, 1087, 783, 814, 952, 1186, 1368, 4688, 885],
[191, 916, 1090, 786, 816, 955, 1189, 1371, 4699, 892],
[192, 916, 1090, 786, 816, 954, 1190, 1371, 4700, 896],
[192, 918, 1091, 787, 816, 955, 1190, 1373, 4702, 896],
[192, 918, 1092, 788, 817, 955, 1190, 1373, 4705, 896],
[192, 918, 1091, 787, 816, 955, 1189, 1374, 4704, 896],
[189, 911, 1085, 780, 807, 943, 1176, 1355, 4656, 862],
[184, 906, 1077, 772, 801, 938, 1168, 1344, 4620, 836],
[184, 906, 1079, 773, 804, 939, 1173, 1348, 4628, 840],
[188, 911, 1085, 779, 809, 944, 1178, 1358, 4651, 860],
[188, 911, 1084, 780, 809, 946, 1181, 1360, 4655, 864],
[186, 910, 1082, 778, 806, 942, 1175, 1352, 4637, 850],
[188, 911, 1084, 779, 810, 948, 1182, 1362, 4675, 874],
[192, 917, 1091, 787, 816, 955, 1190, 1373, 4703, 898],
[192, 918, 1091, 788, 817, 956, 1191, 1374, 4705, 898],
[192, 917, 1091, 787, 817, 955, 1190, 1374, 4703, 896],
[192, 917, 1091, 788, 817, 955, 1191, 1373, 4704, 896],
[192, 917, 1092, 788, 817, 955, 1191, 1372, 4704, 896],
[192, 917, 1091, 787, 817, 955, 1190, 1373, 4702, 896],
[192, 917, 1091, 788, 817, 955, 1191, 1373, 4703, 896],
[192, 917, 1090, 788, 816, 955, 1189, 1373, 4701, 896],
[192, 917, 1091, 788, 817, 955, 1191, 1373, 4703, 896],
[191, 916, 1089, 786, 813, 950, 1185, 1366, 4686, 882],
[191, 916, 1089, 786, 814, 952, 1187, 1369, 4690, 888],
[191, 916, 1090, 786, 815, 954, 1188, 1370, 4695, 890],
[192, 916, 1088, 786, 815, 954, 1188, 1370, 4692, 890],
[192, 916, 1090, 787, 815, 954, 1189, 1370, 4695, 890],
[191, 915, 1089, 786, 815, 953, 1188, 1370, 4695, 890],
[191, 916, 1089, 786, 815, 954, 1188, 1370, 4693, 890],
[186, 909, 1081, 776, 803, 939, 1172, 1348, 4634, 846],
[182, 902, 1073, 767, 797, 931, 1162, 1333, 4586, 810],
[181, 901, 1071, 765, 795, 928, 1158, 1327, 4557, 790],
[179, 899, 1070, 764, 795, 930, 1159, 1328, 4557, 784],
[181, 900, 1071, 766, 796, 930, 1161, 1333, 4566, 796],
[182, 904, 1075, 769, 797, 932, 1164, 1336, 4575, 806],
[182, 903, 1075, 769, 803, 938, 1170, 1346, 4596, 806],
[198, 998, 1210, 838, 876, 1021, 1283, 1487, 5348, 866],
[193, 1015, 1245, 838, 872, 1018, 1282, 1494, 5448, 872],
[202, 1040, 1271, 863, 904, 1054, 1331, 1538, 5687, 902],
[202, 1034, 1263, 862, 895, 1043, 1317, 1524, 5571, 892],
[201, 1021, 1246, 856, 890, 1036, 1306, 1512, 5489, 886],
[201, 1023, 1248, 856, 891, 1037, 1308, 1515, 5510, 886],
[202, 1026, 1249, 856, 893, 1041, 1311, 1519, 5526, 890],
[202, 1039, 1270, 866, 907, 1059, 1339, 1548, 5693, 910],
[198, 1031, 1261, 858, 895, 1050, 1327, 1531, 5594, 912],
[200, 1033, 1263, 862, 898, 1054, 1332, 1537, 5608, 912],
[200, 1033, 1262, 863, 902, 1057, 1335, 1542, 5609, 916],
[204, 1039, 1272, 869, 905, 1058, 1335, 1546, 5631, 912],
[174, 1089, 1623, 1451, 1013, 782, 833, 633, 4246, 780],
[218, 1537, 2285, 1911, 1583, 1174, 1178, 894, 8305, 976],
[265, 1887, 2935, 2371, 1959, 1383, 1465, 1076, 10201, 1196],
[257, 1857, 2869, 2326, 1943, 1375, 1442, 1059, 10201, 1188],
[265, 1875, 2922, 2350, 1940, 1375, 1436, 1060, 10201, 1188],
[265, 1874, 2920, 2349, 1943, 1377, 1436, 1060, 10201, 1192],
[269, 1881, 2930, 2361, 1948, 1385, 1443, 1069, 10201, 1223],
[270, 1882, 2934, 2364, 1952, 1387, 1447, 1070, 10201, 1230],
[269, 1882, 2932, 2363, 1953, 1388, 1447, 1071, 10201, 1232],
[269, 1883, 2933, 2364, 1951, 1387, 1447, 1071, 10201, 1233],
[270, 1882, 2932, 2362, 1952, 1387, 1447, 1071, 10201, 1232],
[270, 1880, 2932, 2363, 1952, 1387, 1447, 1071, 10201, 1230],
[270, 1880, 2933, 2363, 1952, 1387, 1446, 1071, 10201, 1230],
[270, 1881, 2932, 2362, 1952, 1387, 1447, 1071, 10201, 1231],
[269, 1880, 2930, 2361, 1952, 1388, 1447, 1071, 10201, 1232],
[270, 1884, 2933, 2364, 1952, 1388, 1446, 1070, 10201, 1232],
[270, 1882, 2933, 2363, 1952, 1387, 1446, 1071, 10201, 1232],
[269, 1882, 2931, 2363, 1951, 1386, 1446, 1071, 10201, 1230],
[270, 1881, 2932, 2362, 1951, 1387, 1445, 1070, 10201, 1228],
[270, 1882, 2932, 2363, 1952, 1387, 1446, 1070, 10201, 1230],
[270, 1880, 2930, 2362, 1950, 1387, 1445, 1070, 10201, 1230],
[269, 1881, 2932, 2362, 1950, 1387, 1446, 1070, 10201, 1230],
[270, 1882, 2932, 2362, 1951, 1387, 1446, 1070, 10201, 1230],
[270, 1881, 2933, 2363, 1952, 1387, 1447, 1071, 10201, 1230],
[269, 1881, 2931, 2362, 1952, 1388, 1447, 1071, 10201, 1231],
[270, 1881, 2932, 2361, 1952, 1387, 1447, 1071, 10201, 1232],
